designator,domain_id,component_uuid,note
R20,MAIN,c84d5d3734518281,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R21,MAIN,faffec9c68010137,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R22,MAIN,9432562f83f6d351,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R24,MAIN,c8e9f66beafc97b4,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R25,MAIN,d83be077c220bb80,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R26,MAIN,cb5def6f3ed8e58d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R27,MAIN,1e81cebf9a9fbe78,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R3,MAIN,56c2ec2ea84c82d2,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R35,MAIN,b6b4e14beb9ffe87,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R36,MAIN,15204640a1f9ad7f,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R4,MAIN,b02bacc81439efca,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R42,MAIN,11e38b824e3b1a7b,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R43,MAIN,8d5419ae1809dc8d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R44,MAIN,848f7a9dd67961d7,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R5,MAIN,f548cadf87127124,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R6,MAIN,d6c46691bf156e92,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R7,MAIN,b30b62ddb1f9c357,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R8,MAIN,3f5b1b4e39f88192,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
R9,MAIN,ac4e517b34cbf310,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
U1,MAIN,f24ee3859ae1e744,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
U11,MAIN,3dab1e058aa6023f,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
U2,MAIN,656311516eef82bc,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
U5,MAIN,2b4858b6795d0e2d,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
VCAP1,MAIN,68dd05bb3e972819,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
VIN（+24V）,MAIN,ae0ace35a079806e,Research common domain; L2 remains functional hierarchy; no certified HV/LV split supplied
