designator,cluster_id,component_uuid,cluster_name
R3,L2-1,56c2ec2ea84c82d2,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R35,L2-4,b6b4e14beb9ffe87,12V LED 指示支路
R36,L2-5,15204640a1f9ad7f,3V3 LED 指示支路
R4,L2-1,b02bacc81439efca,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R42,L2-1,11e38b824e3b1a7b,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R43,L2-1,8d5419ae1809dc8d,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R44,L2-1,848f7a9dd67961d7,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R5,L2-1,f548cadf87127124,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R6,L2-1,d6c46691bf156e92,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R7,L2-1,b30b62ddb1f9c357,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R8,L2-1,3f5b1b4e39f88192,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
R9,L2-1,ac4e517b34cbf310,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
U1,L2-1,f24ee3859ae1e744,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
U11,L2-1,3dab1e058aa6023f,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
U2,L2-1,656311516eef82bc,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
U5,L2-1,2b4858b6795d0e2d,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
VCAP1,L2-1,68dd05bb3e972819,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
VIN（+24V）,L2-1,ae0ace35a079806e,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦
