designator,component_uuid,l1_cluster_id,l2_cluster_id,voltage_domain_l1,voltage_domain_l2,isolation_domain_l1,isolation_domain_l2,function_l1,function_l2,evidence_rule_ids_l1,evidence_rule_ids_l2
C12,8104a01911c595ee,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C13,a2d7275e9eaacba5,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C14,ee448aaf8d5c0a87,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C15,348f95251b3fc4ac,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C16,0a389f30bb5d3ab4,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C17,781af58c4272a38e,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C18,7a2824bd230035fc,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C19,30d1487be72f7f31,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C2,60f8a4f31e53ae1c,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C20,2366920c92aaa5ed,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C21,94e42a738b2c0679,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C22,9a1a76566317c695,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C23,57a7f896ffdd17d3,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C24,01231d177e16803f,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C25,3afe84e5d8cf102a,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C26,59b0a9ca5e46934b,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C27,eddd02184c869b51,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C28,e4f373f4a94f0618,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C29,6002c49a3a46f9ab,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C3,b117fe17b3165ab0,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C4,7262f99f08f3137d,L1-4,L2-1,+24V,interface,unknown,interface,+24V 输入储能与去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C44,ae921e08757c4af5,L1-8,L2-1,3V3,interface,unknown,interface,3V3 去耦电容,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C5,8d1ddb91526a8a1d,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C6,4c3a47509b7bc1d9,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C7,ca45ca13e1e4f084,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C8,5aa66dc476d8d21e,L1-7,L2-1,+12V,interface,unknown,interface,+12V 去耦电容组,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
C9,28bcedd11a23f772,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
CAP,976d257dccf28576,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
CN3,ddc2829a6437fd13,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
CN4,5b68654098780081,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D1,5bbc6878315e319e,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D11,59056fdd4927ebab,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D2,1f464ce8f7162586,L1-6,L2-1,interface,interface,unknown,interface,输入保护与连接,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D3,1dda9a6b5102b948,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D4,38d6d86997a06a3c,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D5,49af5253d161c6de,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D6,7731511e224060fa,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D7,8a09b918b995e8db,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D8,c783aec6c63ffbbc,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
D9,63d494424240f276,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
DC-DC,35c6e611114dd9ee,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
F1,ee79873de6c2a226,L1-6,L2-1,interface,interface,unknown,interface,输入保护与连接,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
GND,185be8ce95bacc2d,L1-11,L2-6,GND,GND,unknown,unknown,GND 测试点,GND 测试点,,
GND1,20e8d1b124c1438c,L1-11,L2-6,GND,GND,unknown,unknown,GND 测试点,GND 测试点,,
GND2,dd0eb39dad09e95c,L1-11,L2-6,GND,GND,unknown,unknown,GND 测试点,GND 测试点,,
GND3,4a924bfc5ce5e5cb,L1-11,L2-6,GND,GND,unknown,unknown,GND 测试点,GND 测试点,,
L1,da20910c60ba13e9,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
L2,2b303ca0d2b69717,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
L3,436c6ca423eab13b,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
LED2,8ec3a9d0c23b026e,L1-9,L2-4,+12V,+12V,unknown,unknown,LED2 指示支路,12V LED 指示支路,,
LED3,afaf3f1807178777,L1-10,L2-5,3V3,3V3,unknown,unknown,LED3 指示支路,3V3 LED 指示支路,,
LOAD,73a3a0974c19699c,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
Q1,6aeec13be52e8a85,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
Q2,888a6cb785eb3260,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
Q3,0b7fb8f76ed90abf,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
Q4,be58ddeb2374787c,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R1,6266c55f494530ad,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R10,8a47402a7b699ed5,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R11,ab200f7cca8f994e,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R12,be310927d7327693,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R13,a90a8f0ba9912b15,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R14,6a07f76ebf26ef4c,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R15,9063173457d0a67b,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R16,ab1f932402b6279e,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R17,a0088113d02af275,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R18,06c63fbd0e534be9,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R19,ed629d90b023b8eb,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R2,9009a7c8f2200f61,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R20,c84d5d3734518281,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R21,faffec9c68010137,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R22,9432562f83f6d351,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R24,c8e9f66beafc97b4,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R25,d83be077c220bb80,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R26,cb5def6f3ed8e58d,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R27,1e81cebf9a9fbe78,L1-3,L2-1,interface,interface,unknown,interface,双相降压功率级与输出滤波：A/B 相功率级、栅极驱动输入、输出电容与负载接口,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R3,56c2ec2ea84c82d2,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R35,b6b4e14beb9ffe87,L1-9,L2-4,+12V,+12V,unknown,unknown,LED2 指示支路,12V LED 指示支路,,
R36,15204640a1f9ad7f,L1-10,L2-5,3V3,3V3,unknown,unknown,LED3 指示支路,3V3 LED 指示支路,,
R4,b02bacc81439efca,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R42,11e38b824e3b1a7b,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R43,8d5419ae1809dc8d,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R44,848f7a9dd67961d7,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R5,f548cadf87127124,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R6,d6c46691bf156e92,L1-1,L2-1,interface,interface,unknown,interface,降压转换器核心：功率级、反馈补偿、使能与频率设置,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-COMP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R7,b30b62ddb1f9c357,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R8,3f5b1b4e39f88192,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
R9,ac4e517b34cbf310,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
U1,f24ee3859ae1e744,L1-2,L2-1,3V3,interface,unknown,interface,3V3 Buck 转换器：功率级、反馈、输入去耦、使能分压,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,TI-FB-QUIET;TI-IN-CAP,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
U11,3dab1e058aa6023f,L1-5,L2-1,3V3,interface,unknown,interface,温度传感器与 3V3 去耦,Buck 转换器主功能域：包含输入保护、功率级、反馈、控制、输出及去耦,,TI-IN-CAP;TI-FB-QUIET;TI-COMP;TI-FEEDFORWARD
